,borough,pickups,spd,vsb,temp,dewp,slp,pcp01,pcp06,pcp24,sd,hday,start_year,start_month,start_hour,start_day,week_day
0,Bronx,152,5.0,10.0,30.0,7.0,1023.5,0.0,0.0,0.0,0.0,Y,2015,January,1,1,Thursday
1,Brooklyn,1519,5.0,10.0,30.0,7.0,1023.5,0.0,0.0,0.0,0.0,Y,2015,January,1,1,Thursday
2,EWR,0,5.0,10.0,30.0,7.0,1023.5,0.0,0.0,0.0,0.0,Y,2015,January,1,1,Thursday
3,Manhattan,5258,5.0,10.0,30.0,7.0,1023.5,0.0,0.0,0.0,0.0,Y,2015,January,1,1,Thursday
4,Queens,405,5.0,10.0,30.0,7.0,1023.5,0.0,0.0,0.0,0.0,Y,2015,January,1,1,Thursday
5,Staten Island,6,5.0,10.0,30.0,7.0,1023.5,0.0,0.0,0.0,0.0,Y,2015,January,1,1,Thursday
6,Unknown,4,5.0,10.0,30.0,7.0,1023.5,0.0,0.0,0.0,0.0,Y,2015,January,1,1,Thursday
7,Bronx,120,3.0,10.0,30.0,6.0,1023.0,0.0,0.0,0.0,0.0,Y,2015,January,2,1,Thursday
8,Brooklyn,1229,3.0,10.0,30.0,6.0,1023.0,0.0,0.0,0.0,0.0,Y,2015,January,2,1,Thursday
9,EWR,0,3.0,10.0,30.0,6.0,1023.0,0.0,0.0,0.0,0.0,Y,2015,January,2,1,Thursday
10,Manhattan,4345,3.0,10.0,30.0,6.0,1023.0,0.0,0.0,0.0,0.0,Y,2015,January,2,1,Thursday
11,Queens,331,3.0,10.0,30.0,6.0,1023.0,0.0,0.0,0.0,0.0,Y,2015,January,2,1,Thursday
12,Staten Island,7,3.0,10.0,30.0,6.0,1023.0,0.0,0.0,0.0,0.0,Y,2015,January,2,1,Thursday
13,Unknown,11,3.0,10.0,30.0,6.0,1023.0,0.0,0.0,0.0,0.0,Y,2015,January,2,1,Thursday
14,Bronx,132,5.0,10.0,30.0,8.0,1022.3,0.0,0.0,0.0,0.0,Y,2015,January,3,1,Thursday
15,Brooklyn,1601,5.0,10.0,30.0,8.0,1022.3,0.0,0.0,0.0,0.0,Y,2015,January,3,1,Thursday
16,EWR,0,5.0,10.0,30.0,8.0,1022.3,0.0,0.0,0.0,0.0,Y,2015,January,3,1,Thursday
17,Manhattan,4577,5.0,10.0,30.0,8.0,1022.3,0.0,0.0,0.0,0.0,Y,2015,January,3,1,Thursday
18,Queens,440,5.0,10.0,30.0,8.0,1022.3,0.0,0.0,0.0,0.0,Y,2015,January,3,1,Thursday
19,Staten Island,12,5.0,10.0,30.0,8.0,1022.3,0.0,0.0,0.0,0.0,Y,2015,January,3,1,Thursday
20,Unknown,1,5.0,10.0,30.0,8.0,1022.3,0.0,0.0,0.0,0.0,Y,2015,January,3,1,Thursday
21,Bronx,128,5.0,10.0,29.0,9.0,1022.0,0.0,0.0,0.0,0.0,Y,2015,January,4,1,Thursday
22,Brooklyn,1390,5.0,10.0,29.0,9.0,1022.0,0.0,0.0,0.0,0.0,Y,2015,January,4,1,Thursday
23,EWR,0,5.0,10.0,29.0,9.0,1022.0,0.0,0.0,0.0,0.0,Y,2015,January,4,1,Thursday
24,Manhattan,3003,5.0,10.0,29.0,9.0,1022.0,0.0,0.0,0.0,0.0,Y,2015,January,4,1,Thursday
25,Queens,344,5.0,10.0,29.0,9.0,1022.0,0.0,0.0,0.0,0.0,Y,2015,January,4,1,Thursday
26,Staten Island,5,5.0,10.0,29.0,9.0,1022.0,0.0,0.0,0.0,0.0,Y,2015,January,4,1,Thursday
27,Unknown,2,5.0,10.0,29.0,9.0,1022.0,0.0,0.0,0.0,0.0,Y,2015,January,4,1,Thursday
28,Bronx,87,5.0,10.0,28.0,9.0,1021.8,0.0,0.0,0.0,0.0,Y,2015,January,5,1,Thursday
29,Brooklyn,759,5.0,10.0,28.0,9.0,1021.8,0.0,0.0,0.0,0.0,Y,2015,January,5,1,Thursday
30,EWR,0,5.0,10.0,28.0,9.0,1021.8,0.0,0.0,0.0,0.0,Y,2015,January,5,1,Thursday
31,Manhattan,1313,5.0,10.0,28.0,9.0,1021.8,0.0,0.0,0.0,0.0,Y,2015,January,5,1,Thursday
32,Queens,241,5.0,10.0,28.0,9.0,1021.8,0.0,0.0,0.0,0.0,Y,2015,January,5,1,Thursday
33,Staten Island,3,5.0,10.0,28.0,9.0,1021.8,0.0,0.0,0.0,0.0,Y,2015,January,5,1,Thursday
34,Unknown,3,5.0,10.0,28.0,9.0,1021.8,0.0,0.0,0.0,0.0,Y,2015,January,5,1,Thursday
35,Bronx,65,10.0,10.0,28.0,8.0,1020.7,0.0,0.0,0.0,0.0,Y,2015,January,6,1,Thursday
36,Brooklyn,457,10.0,10.0,28.0,8.0,1020.7,0.0,0.0,0.0,0.0,Y,2015,January,6,1,Thursday
37,EWR,0,10.0,10.0,28.0,8.0,1020.7,0.0,0.0,0.0,0.0,Y,2015,January,6,1,Thursday
38,Manhattan,672,10.0,10.0,28.0,8.0,1020.7,0.0,0.0,0.0,0.0,Y,2015,January,6,1,Thursday
39,Queens,148,10.0,10.0,28.0,8.0,1020.7,0.0,0.0,0.0,0.0,Y,2015,January,6,1,Thursday
40,Staten Island,0,10.0,10.0,28.0,8.0,1020.7,0.0,0.0,0.0,0.0,Y,2015,January,6,1,Thursday
41,Bronx,25,9.0,10.0,28.0,10.0,1020.5,0.0,0.0,0.0,0.0,Y,2015,January,7,1,Thursday
42,Brooklyn,270,9.0,10.0,28.0,10.0,1020.5,0.0,0.0,0.0,0.0,Y,2015,January,7,1,Thursday
43,EWR,0,9.0,10.0,28.0,10.0,1020.5,0.0,0.0,0.0,0.0,Y,2015,January,7,1,Thursday
44,Manhattan,431,9.0,10.0,28.0,10.0,1020.5,0.0,0.0,0.0,0.0,Y,2015,January,7,1,Thursday
45,Queens,95,9.0,10.0,28.0,10.0,1020.5,0.0,0.0,0.0,0.0,Y,2015,January,7,1,Thursday
46,Staten Island,0,9.0,10.0,28.0,10.0,1020.5,0.0,0.0,0.0,0.0,Y,2015,January,7,1,Thursday
47,Bronx,17,7.0,10.0,27.0,9.0,1020.5,0.0,0.0,0.0,0.0,Y,2015,January,8,1,Thursday
48,Brooklyn,165,7.0,10.0,27.0,9.0,1020.5,0.0,0.0,0.0,0.0,Y,2015,January,8,1,Thursday
49,EWR,0,7.0,10.0,27.0,9.0,1020.5,0.0,0.0,0.0,0.0,Y,2015,January,8,1,Thursday
50,Manhattan,329,7.0,10.0,27.0,9.0,1020.5,0.0,0.0,0.0,0.0,Y,2015,January,8,1,Thursday
51,Queens,69,7.0,10.0,27.0,9.0,1020.5,0.0,0.0,0.0,0.0,Y,2015,January,8,1,Thursday
52,Staten Island,0,7.0,10.0,27.0,9.0,1020.5,0.0,0.0,0.0,0.0,Y,2015,January,8,1,Thursday
53,Bronx,13,3.0,10.0,27.0,7.0,1020.0,0.0,0.0,0.0,0.0,Y,2015,January,9,1,Thursday
54,Brooklyn,149,3.0,10.0,27.0,7.0,1020.0,0.0,0.0,0.0,0.0,Y,2015,January,9,1,Thursday
55,EWR,0,3.0,10.0,27.0,7.0,1020.0,0.0,0.0,0.0,0.0,Y,2015,January,9,1,Thursday
56,Manhattan,319,3.0,10.0,27.0,7.0,1020.0,0.0,0.0,0.0,0.0,Y,2015,January,9,1,Thursday
57,Queens,83,3.0,10.0,27.0,7.0,1020.0,0.0,0.0,0.0,0.0,Y,2015,January,9,1,Thursday
58,Staten Island,1,3.0,10.0,27.0,7.0,1020.0,0.0,0.0,0.0,0.0,Y,2015,January,9,1,Thursday
59,Bronx,14,3.0,10.0,27.0,6.0,1020.2,0.0,0.0,0.0,0.0,Y,2015,January,10,1,Thursday
60,Brooklyn,120,3.0,10.0,27.0,6.0,1020.2,0.0,0.0,0.0,0.0,Y,2015,January,10,1,Thursday
61,EWR,0,3.0,10.0,27.0,6.0,1020.2,0.0,0.0,0.0,0.0,Y,2015,January,10,1,Thursday
62,Manhattan,420,3.0,10.0,27.0,6.0,1020.2,0.0,0.0,0.0,0.0,Y,2015,January,10,1,Thursday
63,Queens,98,3.0,10.0,27.0,6.0,1020.2,0.0,0.0,0.0,0.0,Y,2015,January,10,1,Thursday
64,Staten Island,1,3.0,10.0,27.0,6.0,1020.2,0.0,0.0,0.0,0.0,Y,2015,January,10,1,Thursday
65,Unknown,1,3.0,10.0,27.0,6.0,1020.2,0.0,0.0,0.0,0.0,Y,2015,January,10,1,Thursday
66,Bronx,14,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y,2015,January,11,1,Thursday
67,Brooklyn,180,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y,2015,January,11,1,Thursday
68,EWR,0,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y,2015,January,11,1,Thursday
69,Manhattan,586,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y,2015,January,11,1,Thursday
70,Queens,122,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y,2015,January,11,1,Thursday
71,Staten Island,1,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y,2015,January,11,1,Thursday
72,Bronx,12,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y,2015,January,12,1,Thursday
73,Brooklyn,220,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y,2015,January,12,1,Thursday
74,EWR,0,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y,2015,January,12,1,Thursday
75,Manhattan,770,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y,2015,January,12,1,Thursday
76,Queens,141,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y,2015,January,12,1,Thursday
77,Staten Island,3,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y,2015,January,12,1,Thursday
